case_id,factor,factor_level,seed,method,comparison_protocol,threshold_scale,target_detected,background_Pfa
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Shrinkage-SMI/MVDR local,scientific_controlled,5.0,1.0,0.000248444849036565
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Corrected JDL physical,scientific_controlled,0.5,1.0,0.0111117432862995
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Corrected JDL physical,scientific_controlled,0.75,1.0,0.006190259444697315
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Corrected JDL physical,scientific_controlled,1.0,1.0,0.004327871339705659
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Corrected JDL physical,scientific_controlled,1.5,1.0,0.00245979365801851
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Corrected JDL physical,scientific_controlled,2.0,1.0,0.0015001517220452132
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Corrected JDL physical,scientific_controlled,3.0,1.0,0.0006296464876346533
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Corrected JDL physical,scientific_controlled,5.0,1.0,0.0001649977241693218
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,MNEC physical,scientific_controlled,0.5,1.0,0.010971400394477318
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,MNEC physical,scientific_controlled,0.75,1.0,0.006218707328174784
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,MNEC physical,scientific_controlled,1.0,1.0,0.0044833864360491575
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,MNEC physical,scientific_controlled,1.5,1.0,0.002670307995751783
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,MNEC physical,scientific_controlled,2.0,1.0,0.0017429069943862843
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,MNEC physical,scientific_controlled,3.0,1.0,0.0008268851464117736
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,MNEC physical,scientific_controlled,5.0,1.0,0.00022947959338491883
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,SA-MNEC physical [approximate academic reference],scientific_controlled,0.5,1.0,0.010933469883174025
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,SA-MNEC physical [approximate academic reference],scientific_controlled,0.75,1.0,0.006216810802609619
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,SA-MNEC physical [approximate academic reference],scientific_controlled,1.0,1.0,0.004487179487179487
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,SA-MNEC physical [approximate academic reference],scientific_controlled,1.5,1.0,0.0026665149446214536
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,SA-MNEC physical [approximate academic reference],scientific_controlled,2.0,1.0,0.0017504930966469427
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,SA-MNEC physical [approximate academic reference],scientific_controlled,3.0,1.0,0.0008287816719769383
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,SA-MNEC physical [approximate academic reference],scientific_controlled,5.0,1.0,0.00022947959338491883
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Current legacy CSI [production replay],production_replay,0.5,1.0,0.015225307237141557
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Current legacy CSI [production replay],production_replay,0.75,1.0,0.005439235320892126
baseline_v2_targetsnrdb10p0_s20261032,target_snr_db,10.0,20261032,Current legacy CSI [production replay],production_replay,1.0,1.0,0.0021279016841147017
