split,scene_id,role,method,status,pfa,hit_cells,false_clusters,selected,valid_cfar_test_cells,configured_pf,cfar_mode,oracle_lambda
test_v3,test_v3_008,target_on,J5_Selective_Physics_Calibration,measured,0.0036885940581854043,1915,41,41,519168,1e-06,dynamic,
test_v3,test_v3_008,target_off,J6_Joint_Phase_Surface,measured,0.003657775517751479,1899,42,42,519168,1e-06,dynamic,
test_v3,test_v3_008,target_on,J6_Joint_Phase_Surface,measured,0.0036885940581854043,1915,41,41,519168,1e-06,dynamic,
test_v3,test_v3_008,target_off,J7_Deterministic_Safe_Expert_Selector,measured,0.003657775517751479,1899,42,42,519168,1e-06,dynamic,
test_v3,test_v3_008,target_on,J7_Deterministic_Safe_Expert_Selector,measured,0.0036885940581854043,1915,41,41,519168,1e-06,dynamic,
test_v3,test_v3_008,target_off,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.003657775517751479,1899,42,42,519168,1e-06,dynamic,0.0
test_v3,test_v3_008,target_on,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.0036885940581854043,1915,41,41,519168,1e-06,dynamic,0.0
test_v3,test_v3_009,target_off,J0_Current,measured,0.006812823594674556,3537,102,102,519168,1e-06,dynamic,
test_v3,test_v3_009,target_on,J0_Current,measured,0.006855199087771203,3559,103,103,519168,1e-06,dynamic,
test_v3,test_v3_009,target_off,J5_Selective_Physics_Calibration,measured,0.006685697115384615,3471,99,99,519168,1e-06,dynamic,
test_v3,test_v3_009,target_on,J5_Selective_Physics_Calibration,measured,0.006726146449704142,3492,101,101,519168,1e-06,dynamic,
test_v3,test_v3_009,target_off,J6_Joint_Phase_Surface,measured,0.006749260355029586,3504,102,102,519168,1e-06,dynamic,
test_v3,test_v3_009,target_on,J6_Joint_Phase_Surface,measured,0.006785857371794872,3523,103,103,519168,1e-06,dynamic,
test_v3,test_v3_009,target_off,J7_Deterministic_Safe_Expert_Selector,measured,0.006812823594674556,3537,102,102,519168,1e-06,dynamic,
