split,scene_id,family,status,look_angle_deg,true_radial_velocity_mps,true_clutter_ridge_doppler_hz,distance_to_clutter_ridge_hz,distance_to_clutter_ridge_mps
validation,validation_005,zero,pass,-80.0,-42.18749999999999,-4635.98901098901,4635.98901098901,42.18749999999999
validation,validation_006,zero,pass,-70.0,42.1875,4635.989010989011,4635.989010989011,42.1875
validation,validation_007,zero,pass,-60.0,-2.8125000000000004,-309.0659340659341,309.0659340659341,2.8125000000000004
validation,validation_008,M1,pass,-50.0,-8.4375,-927.1978021978022,927.1978021978022,8.4375
validation,validation_009,M1,pass,-40.0,-19.687499999999996,-2163.461538461538,2163.461538461538,19.687499999999996
validation,validation_010,M1,pass,-80.0,2.8125,309.0659340659341,309.0659340659341,2.8125
validation,validation_011,M1,pass,-70.0,-36.5625,-4017.8571428571427,4017.8571428571427,36.5625
validation,validation_012,M1,pass,-60.0,25.3125,2781.5934065934066,2781.5934065934066,25.3125
validation,validation_013,M1,pass,-50.0,-25.312500000000004,-2781.593406593407,2781.593406593407,25.312500000000004
validation,validation_014,M1,pass,-40.0,14.0625,1545.3296703296703,1545.3296703296703,14.0625
validation,validation_015,M1,pass,-80.0,-30.937499999999993,-3399.7252747252737,3399.7252747252737,30.937499999999993
test,test_000,zero,pass,-80.0,-24.609374999999996,-2704.3269230769224,2704.3269230769224,24.609374999999996
test,test_001,zero,pass,-70.0,35.859375,3940.590659340659,3940.590659340659,35.859375
test,test_002,zero,pass,-60.0,24.609375,2704.326923076923,2704.326923076923,24.609375
test,test_003,zero,pass,-50.0,31.640625,3476.991758241758,3476.991758241758,31.640625
test,test_004,zero,pass,-40.0,23.203124999999996,2549.7939560439554,2549.7939560439554,23.203124999999996
test,test_005,zero,pass,-80.0,-21.796874999999996,-2395.2609890109884,2395.2609890109884,21.796874999999996
test,test_006,zero,pass,-70.0,-4.921874999999998,-540.8653846153844,540.8653846153844,4.921874999999998
test,test_007,zero,pass,-60.0,-30.234375,-3322.458791208791,3322.458791208791,30.234375
test,test_008,M1,pass,-50.0,3.515625000000001,386.33241758241763,386.33241758241763,3.515625000000001
test,test_009,M1,pass,-40.0,-34.453125,-3786.057692307692,3786.057692307692,34.453125
test,test_010,M1,pass,-80.0,9.140624999999998,1004.4642857142854,1004.4642857142854,9.140624999999998
test,test_011,M1,pass,-70.0,-38.671875,-4249.656593406593,4249.656593406593,38.671875
test,test_012,M1,pass,-60.0,-0.703125,-77.26648351648352,77.26648351648352,0.703125
test,test_013,M1,pass,-50.0,-35.859375,-3940.590659340659,3940.590659340659,35.859375
test,test_014,M1,pass,-40.0,14.765625,1622.5961538461538,1622.5961538461538,14.765625
test,test_015,M1,pass,-80.0,0.7031249999999996,77.26648351648346,77.26648351648346,0.7031249999999996
test,test_016,M2,pass,-70.0,17.578125,1931.6620879120878,1931.6620879120878,17.578125
test,test_017,M2,pass,-60.0,-11.953125000000004,-1313.53021978022,1313.53021978022,11.953125000000004
test,test_018,M2,pass,-50.0,42.890625,4713.255494505494,4713.255494505494,42.890625
test,test_019,M2,pass,-40.0,-26.015624999999996,-2858.8598901098894,2858.8598901098894,26.015624999999996
test,test_020,M2,pass,-80.0,-7.734374999999999,-849.9313186813185,849.9313186813185,7.734374999999999
test,test_021,M2,pass,-70.0,7.734375000000001,849.9313186813188,849.9313186813188,7.734375000000001
test,test_022,M2,pass,-60.0,20.390625,2240.728021978022,2240.728021978022,20.390625
test,test_023,M2,pass,-50.0,-41.484375,-4558.722527472527,4558.722527472527,41.484375
test,test_024,M3,pass,-40.0,26.015624999999996,2858.8598901098894,2858.8598901098894,26.015624999999996
test,test_025,M3,pass,-80.0,11.953124999999998,1313.5302197802196,1313.5302197802196,11.953124999999998
test,test_026,M3,pass,-70.0,44.296875,4867.788461538461,4867.788461538461,44.296875
test,test_027,M3,pass,-60.0,-23.203125,-2549.793956043956,2549.793956043956,23.203125
test,test_028,M3,pass,-50.0,38.671875,4249.656593406593,4249.656593406593,38.671875
