split,scene_id,actual_mechanism,role,method,branch,active,fallback,current_cancellation_db,deterministic_cancellation_db,oracle_cancellation_db,fallback_opportunity_cost_db,recoverable_headroom_db,deterministic_gain_db,remaining_gap_db,recovery_ratio
test,test_046,M1+M3,target_on,J4_D3_P2_joint,,False,True,5.34766756416787,5.34766756416787,5.60212496740765,0.2544574032397797,0.2544574032397797,0.0,0.2544574032397797,0.0
test,test_046,M1+M3,target_on,J5_Selective_Physics_Calibration,D0P0,False,True,5.34766756416787,5.34766756416787,5.60212496740765,0.2544574032397797,0.2544574032397797,0.0,0.2544574032397797,0.0
test,test_046,M1+M3,target_on,J6_Joint_Phase_Surface,D0P0,False,True,5.34766756416787,5.34766756416787,5.60212496740765,0.2544574032397797,0.2544574032397797,0.0,0.2544574032397797,0.0
test,test_047,M1+M3,target_off,J0_Current,,False,True,3.00865379819473,3.00865379819473,8.49605387134254,5.487400073147809,5.487400073147809,0.0,5.487400073147809,0.0
test,test_047,M1+M3,target_off,J1_D3_delay_only,,False,True,3.00865379819473,3.00865379819473,8.49605387134254,5.487400073147809,5.487400073147809,0.0,5.487400073147809,0.0
test,test_047,M1+M3,target_off,J2_P1_phase_only,,False,True,3.00865379819473,3.00865379819473,8.49605387134254,5.487400073147809,5.487400073147809,0.0,5.487400073147809,0.0
test,test_047,M1+M3,target_off,J3_D3_P1_joint,,False,True,3.00865379819473,3.00865379819473,8.49605387134254,5.487400073147809,5.487400073147809,0.0,5.487400073147809,0.0
test,test_047,M1+M3,target_off,J4_D3_P2_joint,,False,True,3.00865379819473,3.00865379819473,8.49605387134254,5.487400073147809,5.487400073147809,0.0,5.487400073147809,0.0
test,test_047,M1+M3,target_off,J5_Selective_Physics_Calibration,D0P0,False,True,3.00865379819473,3.00865379819473,8.49605387134254,5.487400073147809,5.487400073147809,0.0,5.487400073147809,0.0
test,test_047,M1+M3,target_off,J6_Joint_Phase_Surface,D0P0,False,True,3.00865379819473,3.00865379819473,8.49605387134254,5.487400073147809,5.487400073147809,0.0,5.487400073147809,0.0
test,test_047,M1+M3,target_on,J0_Current,,False,True,3.01422825862341,3.01422825862341,8.49609058825733,5.48186232963392,5.48186232963392,0.0,5.48186232963392,0.0
test,test_047,M1+M3,target_on,J1_D3_delay_only,,False,True,3.01422825862341,3.01422825862341,8.49609058825733,5.48186232963392,5.48186232963392,0.0,5.48186232963392,0.0
test,test_047,M1+M3,target_on,J2_P1_phase_only,,False,True,3.01422825862341,3.01422825862341,8.49609058825733,5.48186232963392,5.48186232963392,0.0,5.48186232963392,0.0
test,test_047,M1+M3,target_on,J3_D3_P1_joint,,False,True,3.01422825862341,3.01422825862341,8.49609058825733,5.48186232963392,5.48186232963392,0.0,5.48186232963392,0.0
test,test_047,M1+M3,target_on,J4_D3_P2_joint,,False,True,3.01422825862341,3.01422825862341,8.49609058825733,5.48186232963392,5.48186232963392,0.0,5.48186232963392,0.0
