split,scene_id,family,snr_db,method,target_id,target_row,target_col,on_hit,off_hit,paired_causal_hit,on_cfar_margin_db,off_cfar_margin_db,delta_cfar_margin_db,on_roi_cells,off_roi_cells,target_only_roi_cells,L_causal_dB,L_target_only_dB,peak_transfer_dB,integrated_roi_energy_candidate,integrated_roi_energy_current,range_centroid_shift_cells,doppler_centroid_shift_cells,peak_bin_shift_cells,roi_spreading_delta_cells,delta_definition,target_only_definition,delta_cell_count,delta_sum_real,delta_sum_imag,delta_energy,delta_peak_abs,delta_peak_real,delta_peak_imag,delta_peak_row,delta_peak_col,delta_centroid_row,delta_centroid_col,delta_spread_rms_cells,target_only_cell_count,target_only_sum_real,target_only_sum_imag,target_only_energy,target_only_peak_abs,target_only_peak_real,target_only_peak_imag,target_only_peak_row,target_only_peak_col,target_only_centroid_row,target_only_centroid_col,target_only_spread_rms_cells
target_transfer_snr_screen,target_transfer_snr_screen_003,M1+M3,10.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,4,761,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,36994637.30398958,36994637.30398958,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,2834.7047275304794,-4578.007169246674,36994637.30398958,4004.6812681262054,2145.8362884521484,-3381.2510528564453,4,761,4.140032175240233,761.4439041600676,0.7677742405835761,25,-5092.432657241821,-2597.5513458251953,39660711.00618829,4410.702132360085,-3756.61376953125,-2311.308349609375,4,762,4.132876022834765,761.6112905616022,0.7561474128632215
target_transfer_snr_screen,target_transfer_snr_screen_003,M1+M3,10.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,4,761,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,36994637.30398958,36994637.30398958,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,2834.7047275304794,-4578.007169246674,36994637.30398958,4004.6812681262054,2145.8362884521484,-3381.2510528564453,4,761,4.140032175240233,761.4439041600676,0.7677742405835761,25,-5092.432657241821,-2597.5513458251953,39660711.00618829,4410.702132360085,-3756.61376953125,-2311.308349609375,4,762,4.132876022834765,761.6112905616022,0.7561474128632215
target_transfer_snr_screen,target_transfer_snr_screen_004,M2+M3,10.0,J0_Current,MISMATCH_B01_S000_R00,97,898,True,False,True,nan,nan,nan,25,25,25,0.0,0.0,0.0,33356888.788290467,33356888.788290467,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,3803.8316518068314,833.8163395524025,33356888.788290467,4296.208100368964,4145.966045379639,1126.2191581726074,97,898,97.25530629068822,897.9832068493096,0.8671588267091628,25,1259.2597732543945,-3686.7065029144287,33490238.617100786,4308.04962609514,1590.3167724609375,-4003.771240234375,97,898,97.2545168180605,898.006301444563,0.8666562903257724
target_transfer_snr_screen,target_transfer_snr_screen_004,M2+M3,10.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,97,898,True,False,True,nan,nan,nan,25,25,25,0.002124407650020477,0.0020885958952444705,0.011372168692333845,33373209.733509287,33356888.788290467,-7.572636116037756e-05,-0.0012288140706999684,"(0, 0)",-0.00040199313555355776,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,3822.6966170072556,833.7296978235245,33373209.733509287,4301.836677621633,4152.52755355835,1123.5273551940918,97,898,97.25407747661752,897.9831311229484,0.8667568335736092,25,1282.1396942138672,-3698.207763671875,33506348.51487903,4313.6570065714495,1610.2396240234375,-4001.84521484375,97,898,97.25329183355765,898.0062992606321,0.8662560620865596
target_transfer_snr_screen,target_transfer_snr_screen_004,M2+M3,10.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,97,898,False,False,False,nan,nan,nan,25,25,25,0.0707850356620984,0.06974851236353731,0.548835636789589,33905022.78606503,33356888.788290467,-0.0043071129855434265,-0.06522203599035947,"(0, 0)",-0.028107253000221433,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,4722.760509729385,1006.6789036989212,33905022.78606503,4576.432819646984,4427.230297088623,1159.038070678711,97,898,97.19008425469787,897.978899736324,0.8390515737089413,25,-4687.948966026306,1173.3657264709473,34032440.43924033,4587.746661093276,-4490.3232421875,940.4342651367188,97,898,97.18950862500394,898.0062311439301,0.8386392273193317
target_transfer_snr_screen,target_transfer_snr_screen_005,M1+M2+M3,10.0,J0_Current,MISMATCH_B01_S000_R00,59,1035,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,234842.23052334983,234842.23052334983,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-133.37007209658623,186.6613292992115,234842.23052334983,262.214018126391,210.24990367889404,156.6881275177002,61,1036,60.19770118847199,1035.2506334679108,1.4952084747457772,25,1299.7246508598328,919.5365090370178,584740.7268831216,466.7664111680857,372.5181884765625,281.2491455078125,61,1035,59.78377839223108,1035.0486124451024,1.2244051517680261
target_transfer_snr_screen,target_transfer_snr_screen_005,M1+M2+M3,10.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,59,1035,False,False,False,nan,nan,nan,25,25,25,-4.206026277394446,0.5649261344368567,-5.083208730547905,89160.72041408112,234842.23052334983,-0.3589037274327893,0.10851912351384385,"(0, -2)",-0.043980047906609254,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-224.23432314395905,-1.811757206916809,89160.72041408112,146.04795125085985,-146.03953790664673,1.567620038986206,61,1034,60.30622031198583,1034.891729740478,1.451228426839168,25,1563.7451839447021,821.8022441864014,665971.9793847158,497.133255780974,403.2615051269531,290.7260437011719,61,1035,59.84799477973345,1034.935647885496,1.2895456589935972
target_transfer_snr_screen,target_transfer_snr_screen_005,M1+M2+M3,10.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,59,1035,False,False,False,nan,nan,nan,25,25,25,-4.159051187995177,0.5392296459926263,-3.211745824482356,90130.35421072695,234842.23052334983,-0.2911091747316732,0.14838700858138765,"(0, -1)",-0.31530682254393727,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-199.9335994720459,-35.48476946353912,90130.35421072695,181.16262897728853,-167.96556282043457,-67.8783311843872,61,1035,60.346088197053376,1034.9595242931791,1.17990165220184,25,1553.296380996704,843.531436920166,662043.167513883,492.9492967755888,394.2817687988281,295.87310791015625,61,1035,59.83916746043238,1034.9494290915252,1.2909006545624464
target_transfer_snr_screen,target_transfer_snr_screen_006,M1,14.0,J0_Current,MISMATCH_B01_S000_R00,123,1172,True,False,True,nan,nan,nan,25,25,25,0.0,0.0,0.0,110062990.72106768,110062990.72106768,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-5528.380697198212,-10108.69474864006,110062990.72106768,8040.58596520984,-3695.8175270557404,-7140.865176618099,123,1172,122.97859664595586,1172.3701056384443,0.6274220995211275,25,3005.1965670585632,11610.918383598328,114843471.2102853,7260.453233845533,1830.5758056640625,7025.89306640625,123,1173,122.97884983563512,1172.5049825669275,0.6384799272784999
target_transfer_snr_screen,target_transfer_snr_screen_006,M1,14.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,123,1172,True,False,True,nan,nan,nan,25,25,25,0.0,0.0,0.0,110062990.72106768,110062990.72106768,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-5528.380697198212,-10108.69474864006,110062990.72106768,8040.58596520984,-3695.8175270557404,-7140.865176618099,123,1172,122.97859664595586,1172.3701056384443,0.6274220995211275,25,3005.1965670585632,11610.918383598328,114843471.2102853,7260.453233845533,1830.5758056640625,7025.89306640625,123,1173,122.97884983563512,1172.5049825669275,0.6384799272784999
