metric,metric_direction,comparison,delay_error_ns,block_count,effective_block_count,expected_block_count,missing_block_count,duplicate_block_delay_count,unavailable_block_count,missing_blocks,source_classification,effect,effect_mean,ci_low,ci_high,recoverable_space,actual_recovered,recovery_ratio,status,reason
position_rmse_m,lower_is_better,A1_to_A3,4,15,15,15,0,45,0,,Formal-v2 confirmatory,152.98580249541408,152.98580249541408,106.6365400044285,199.0409519895047,102.60659130743558,152.98580249541408,1.490993907370234,passed,exact_duplicate_block_delay_rows_collapsed
position_rmse_m,lower_is_better,A1_to_A2,8,15,15,15,0,45,0,,Formal-v2 confirmatory,252.2401643315242,252.2401643315242,191.52925371156928,311.6109733546812,252.2401643315242,110.66688726159842,0.43873618444105816,passed,exact_duplicate_block_delay_rows_collapsed
position_rmse_m,lower_is_better,A1_to_A3,8,15,15,15,0,45,0,,Formal-v2 confirmatory,110.66688726159842,110.66688726159842,48.453121285220554,177.20357944126948,252.2401643315242,110.66688726159842,0.43873618444105816,passed,exact_duplicate_block_delay_rows_collapsed
target_detection_pd,higher_is_better,A1_to_A2,-8,15,15,15,0,45,0,,Formal-v2 confirmatory,0.1733333333333333,0.1733333333333333,0.09333333333333331,0.25333333333333335,0.1733333333333333,0.10666666666666667,0.6153846153846155,passed,exact_duplicate_block_delay_rows_collapsed
target_detection_pd,higher_is_better,A1_to_A3,-8,15,15,15,0,45,0,,Formal-v2 confirmatory,0.10666666666666667,0.10666666666666667,0.053333333333333344,0.16000000000000003,0.1733333333333333,0.10666666666666667,0.6153846153846155,passed,exact_duplicate_block_delay_rows_collapsed
target_detection_pd,higher_is_better,A1_to_A2,-4,15,15,15,0,45,0,,Formal-v2 confirmatory,-0.01333333333333333,-0.01333333333333333,-0.06666666666666665,0.039999999999999994,-0.01333333333333333,0.0,-0.0,passed,exact_duplicate_block_delay_rows_collapsed
target_detection_pd,higher_is_better,A1_to_A3,-4,15,15,15,0,45,0,,Formal-v2 confirmatory,0.0,0.0,0.0,0.0,-0.01333333333333333,0.0,-0.0,passed,exact_duplicate_block_delay_rows_collapsed
target_detection_pd,higher_is_better,A1_to_A2,-2,15,15,15,0,45,0,,Formal-v2 confirmatory,0.01333333333333333,0.01333333333333333,0.0,0.039999999999999994,0.01333333333333333,0.0,0.0,passed,exact_duplicate_block_delay_rows_collapsed
target_detection_pd,higher_is_better,A1_to_A3,-2,15,15,15,0,45,0,,Formal-v2 confirmatory,0.0,0.0,0.0,0.0,0.01333333333333333,0.0,0.0,passed,exact_duplicate_block_delay_rows_collapsed
target_detection_pd,higher_is_better,A1_to_A2,-1,15,15,15,0,45,0,,Formal-v2 confirmatory,0.0,0.0,0.0,0.0,0.0,0.0,,NOT_EVALUABLE,zero_recoverable_space
target_detection_pd,higher_is_better,A1_to_A3,-1,15,15,15,0,45,0,,Formal-v2 confirmatory,0.0,0.0,0.0,0.0,0.0,0.0,,NOT_EVALUABLE,zero_recoverable_space
target_detection_pd,higher_is_better,A1_to_A2,1,15,15,15,0,45,0,,Formal-v2 confirmatory,0.0,0.0,0.0,0.0,0.0,0.0,,NOT_EVALUABLE,zero_recoverable_space
target_detection_pd,higher_is_better,A1_to_A3,1,15,15,15,0,45,0,,Formal-v2 confirmatory,0.0,0.0,0.0,0.0,0.0,0.0,,NOT_EVALUABLE,zero_recoverable_space
target_detection_pd,higher_is_better,A1_to_A2,2,15,15,15,0,45,0,,Formal-v2 confirmatory,0.01333333333333333,0.01333333333333333,0.0,0.039999999999999994,0.01333333333333333,0.01333333333333333,1.0,passed,exact_duplicate_block_delay_rows_collapsed
target_detection_pd,higher_is_better,A1_to_A3,2,15,15,15,0,45,0,,Formal-v2 confirmatory,0.01333333333333333,0.01333333333333333,0.0,0.039999999999999994,0.01333333333333333,0.01333333333333333,1.0,passed,exact_duplicate_block_delay_rows_collapsed
target_detection_pd,higher_is_better,A1_to_A2,4,15,15,15,0,45,0,,Formal-v2 confirmatory,0.039999999999999994,0.039999999999999994,0.0,0.09333333333333331,0.039999999999999994,0.039999999999999994,1.0,passed,exact_duplicate_block_delay_rows_collapsed
