level,delay_error_ns,snr_db,method,method_family,bias_ns,rmse_ns,std_ns,ci95_low_ns,ci95_high_ns,fallback_rate,mean_runtime_sec,trials
level1,2.0,30.0,D4_generalized_phase_slope_ML,spectral_D1_D2_D3,-0.0015953486961387498,0.018262261570821392,0.018284095319024675,-0.005178965527657325,0.001988268135379825,0.0,0.0006080410108552315,100
level1,2.0,30.0,cross_correlation,traditional_baseline,-1.2553641170182837,1.2553881948806025,0.007814357963794757,-1.2568957030354178,-1.2538325310011496,0.0,0.0004888413695152849,100
level1,2.0,30.0,gcc_phat,traditional_baseline,-1.7894201880440912,1.7912944775850594,0.08233521067041681,-1.8055575928014447,-1.7732827832867377,0.0,0.0006179724211688154,100
level1,2.0,30.0,oversampled_cross_correlation,traditional_baseline,-1.3851990191003847,1.385226012851809,0.00869134973723156,-1.3869024923465862,-1.383495545854183,0.0,0.0017163660697406158,100
level1,2.0,35.0,D1_ordinary_LS,spectral_D1_D2_D3,5.034315811515144e-05,0.018867834366834008,0.018962819529431036,-0.003666301174186609,0.0037669874904169122,0.0,0.00012875044951215386,100
level1,2.0,35.0,D2_weighted_LS,spectral_D1_D2_D3,1.996496324479402e-05,0.018881081371528437,0.018976190162659494,-0.003699299965014794,0.003739229891504382,0.0,0.0001147828996181488,100
level1,2.0,35.0,D3_Huber_weighted_LS,spectral_D1_D2_D3,-0.00015953201574047337,0.020147501118620372,0.020248365711848716,-0.004128138769842395,0.0038090747383614475,0.0,0.0010563858196837828,100
level1,2.0,35.0,D4_generalized_phase_slope_ML,spectral_D1_D2_D3,-0.00036348322010345993,0.011290384724535588,0.011341381597589921,-0.002586353166723619,0.0018593867265166988,0.0,0.000604130570718553,100
level1,2.0,35.0,cross_correlation,traditional_baseline,-1.2554181690075392,1.255427933934855,0.004976533791929944,-1.2563935517075422,-1.2544427863075363,0.0,0.0004800064899609424,100
level1,2.0,35.0,gcc_phat,traditional_baseline,-1.7953057931055887,1.7968759902324707,0.0754811737544341,-1.8100998313125387,-1.7805117548986387,0.0,0.0006115253578172997,100
level1,2.0,35.0,oversampled_cross_correlation,traditional_baseline,-1.3853948637383118,1.3854023478121418,0.004576714327942187,-1.3862918832633413,-1.3844978442132823,0.0,0.0017179110198048875,100
level1,-2.0,20.0,D1_ordinary_LS,spectral_D1_D2_D3,-0.018766901235315082,0.10523574187428865,0.10407051215817321,-0.039164346803580816,0.0016305443329506474,0.0,0.00012976808124221862,100
level1,-2.0,20.0,D2_weighted_LS,spectral_D1_D2_D3,-0.018453557304311374,0.10509260123862976,0.10398096687685006,-0.03883345231993922,0.0019263377113164677,0.0,0.00011485064867883921,100
level1,-2.0,20.0,D3_Huber_weighted_LS,spectral_D1_D2_D3,-0.016519235490735362,0.10588745313358378,0.10511786357390426,-0.03712195816440009,0.004083487182929359,0.0,0.0010490084695629776,100
level1,-2.0,20.0,D4_generalized_phase_slope_ML,spectral_D1_D2_D3,-0.000742001224916451,0.05589582833901871,0.05617247123937718,-0.01175160328009558,0.010267600830262678,0.0,0.0006146116397576407,100
level1,-2.0,20.0,cross_correlation,traditional_baseline,1.2095921736580306,1.209893189963889,0.02712307426920686,1.2042761487862657,1.2149081985297956,0.0,0.0004893833881942555,100
level1,-2.0,20.0,gcc_phat,traditional_baseline,1.7646945569752288,1.7670249408310845,0.09117782659021642,1.7468240313446826,1.782565082605775,0.0,0.00062011233123485,100
level1,-2.0,20.0,oversampled_cross_correlation,traditional_baseline,1.3380999710723438,1.3383863896167776,0.027826942246187064,1.3326459906121035,1.343553951532584,0.0,0.0017333696884452366,100
level1,-2.0,30.0,D1_ordinary_LS,spectral_D1_D2_D3,0.0009809376121317293,0.033749756423352595,0.03390545112808149,-0.005664408696930538,0.007626283921193996,0.0,0.00012807366874767467,100
level1,-2.0,30.0,D2_weighted_LS,spectral_D1_D2_D3,0.0010168905445534283,0.03379698704412055,0.03395187126663138,-0.005637553944480353,0.007671335033587209,0.0,0.00011324291001074015,100
level1,-2.0,30.0,D3_Huber_weighted_LS,spectral_D1_D2_D3,0.0008255423830119857,0.03397199723423,0.03413305924156615,-0.005864414296552186,0.007515499062576156,0.0,0.0010553989105392247,100
level1,-2.0,30.0,D4_generalized_phase_slope_ML,spectral_D1_D2_D3,0.0024094753331918373,0.018061348689597214,0.0179900855160475,-0.0011165166358330396,0.005935467302216714,0.0,0.0006090292616863735,100
level1,-2.0,30.0,cross_correlation,traditional_baseline,1.2115069155724822,1.2115430427617278,0.009403308272138712,1.2096639010175902,1.2133499301273742,0.0,0.00048424779815832154,100
level1,-2.0,30.0,gcc_phat,traditional_baseline,1.7757573569793026,1.7776781646933355,0.0830325867717427,1.7594832690177213,1.7920314449408838,0.0,0.0006142401037504897,100
level1,-2.0,30.0,oversampled_cross_correlation,traditional_baseline,1.3409008331090047,1.3409312466581984,0.00907677866847955,1.3391218171804185,1.3426798490375909,0.0,0.0017253923712996766,100
level1,-2.0,35.0,D1_ordinary_LS,spectral_D1_D2_D3,-0.002418384955948716,0.02179769915356038,0.021772262554947835,-0.0066856700029134936,0.0018489000910160616,0.0,0.00012830418243538587,100
level1,-2.0,35.0,D2_weighted_LS,spectral_D1_D2_D3,-0.0024212617853427497,0.02179727481618478,0.021771510454115458,-0.006688399423253107,0.0018458758525676075,0.0,0.00011302507016807794,100
level1,-2.0,35.0,D3_Huber_weighted_LS,spectral_D1_D2_D3,-0.0018130274536408719,0.021890086137309903,0.021924775030834842,-0.006110204396598807,0.0024841494893170627,0.0,0.0010524272202746942,100
level1,-2.0,35.0,D4_generalized_phase_slope_ML,spectral_D1_D2_D3,-0.0016404469674369594,0.010514429574595585,0.010437992135674428,-0.0036862558331203794,0.00040536189824646063,0.0,0.0006044812497566454,100
level1,-2.0,35.0,cross_correlation,traditional_baseline,1.2102453113584095,1.2102561360011825,0.0051444844937278056,1.2092370109257364,1.2112536117910826,0.0,0.0004844518695608713,100
level1,-2.0,35.0,gcc_phat,traditional_baseline,1.773886640336202,1.7756193116578605,0.07881782581202443,1.75843863034307,1.789334650329334,0.0,0.0006130263401428238,100
level1,-2.0,35.0,oversampled_cross_correlation,traditional_baseline,1.33916915134763,1.3391776784064988,0.0048030315646149565,1.3382277744593045,1.3401105282359556,0.0,0.0017151928893872537,100
level1,4.0,20.0,D1_ordinary_LS,spectral_D1_D2_D3,0.014897210460845333,0.10763189574274819,0.10713296798820951,-0.006100465420531982,0.03589488634222265,0.0,0.00013017167919315397,100
level1,4.0,20.0,D2_weighted_LS,spectral_D1_D2_D3,0.0148148515095957,0.10728496363945285,0.10679246179780533,-0.006116086384811103,0.0357457894040025,0.0,0.00011468029086245224,100
level1,4.0,20.0,D3_Huber_weighted_LS,spectral_D1_D2_D3,0.011556326499617757,0.11311708809485273,0.1130921093126338,-0.010609319619225155,0.03372197261846067,0.0,0.0010510828281985595,100
level1,4.0,20.0,D4_generalized_phase_slope_ML,spectral_D1_D2_D3,0.006335437806429889,0.06351367977364202,0.06351528684354484,-0.006113329661677972,0.018784205274537752,0.0,0.0006112578496686183,100
level1,4.0,20.0,cross_correlation,traditional_baseline,-2.542998347948475,2.5431758442582493,0.030197617639446412,-2.5489169722476976,-2.537079723649252,0.0,0.0004895453696371988,100
level1,4.0,20.0,gcc_phat,traditional_baseline,-3.59022879471883,3.591121186068701,0.08045686844545631,-3.6059980511650274,-3.5744595382726327,0.0,0.0006209176292759366,100
level1,4.0,20.0,oversampled_cross_correlation,traditional_baseline,-2.800957497343568,2.801101971384495,0.02859243682167248,-2.8065615119836393,-2.7953534827034967,0.0,0.0017236799802049063,100
level1,4.0,30.0,D1_ordinary_LS,spectral_D1_D2_D3,-0.0004402469283990085,0.0361000137829963,0.036279180909290776,-0.00755083572548131,0.006670341868683293,0.0,0.00012883286020951346,100
level1,4.0,30.0,D2_weighted_LS,spectral_D1_D2_D3,-0.0004692759405020608,0.03606327367706509,0.03624188503245407,-0.007572554880047182,0.006634002999043061,0.0,0.00011475350969703868,100
level1,4.0,30.0,D3_Huber_weighted_LS,spectral_D1_D2_D3,-0.0004320224850972432,0.0363166672888426,0.036497041246356436,-0.007585311123610389,0.006721266153415902,0.0,0.0010534811799880117,100
level1,4.0,30.0,D4_generalized_phase_slope_ML,spectral_D1_D2_D3,-0.0013011061842519522,0.019100575044131752,0.01915221035095116,-0.005054870435471903,0.002452658066967998,0.0,0.0006064200503169559,100
level1,4.0,30.0,cross_correlation,traditional_baseline,-2.54506757422952,2.5450788920204754,0.007628310749427956,-2.5465626956626957,-2.543572452796344,0.0,0.0004790867009432986,100
level1,4.0,30.0,gcc_phat,traditional_baseline,-3.614626054735918,3.6155167110066317,0.08065121309816439,-3.6304334020341047,-3.598818707437731,0.0,0.0006149979107431136,100
level1,4.0,30.0,oversampled_cross_correlation,traditional_baseline,-2.800961785883141,2.8009743024536826,0.008415775723619635,-2.802611247615167,-2.799312324151115,0.0,0.001720913449244108,100
level1,4.0,35.0,D1_ordinary_LS,spectral_D1_D2_D3,0.00025113688869760065,0.01976114888443111,0.019859097996335808,-0.003641174795129373,0.004143448572524574,0.0,0.00012999012949876487,100
level1,4.0,35.0,D2_weighted_LS,spectral_D1_D2_D3,0.00025133442971591257,0.019774764083518855,0.01987278036810288,-0.0036436589496997157,0.004146327809131541,0.0,0.00011436951957875863,100
level1,4.0,35.0,D3_Huber_weighted_LS,spectral_D1_D2_D3,0.0008870882826690307,0.020217502135719795,0.020299785215229006,-0.003091596508905721,0.0048657730742437824,0.0,0.0010644154096371495,100
level1,4.0,35.0,D4_generalized_phase_slope_ML,spectral_D1_D2_D3,-0.0008234328177568217,0.01034709263051451,0.010366237168297019,-0.002855177968263085,0.0012083123327494417,0.0,0.0006158367119496688,100
level1,4.0,35.0,cross_correlation,traditional_baseline,-2.5449963994398104,2.5450011609098255,0.004947795219838002,-2.5459661494831867,-2.544026649396434,0.0,0.0004814920786884613,100
