scene_id,working_point,seed,delay_error_ns,target_velocity_mps,target_snr_db,condition,role,metric,value,status,denominator,definition
high_velocity__seed_101__v_p12__snr_p30__delay_p1ns,high_velocity,101,1.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,position_rmse_m,67.18263597532146,passed,,position_rmse_m; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p1ns,high_velocity,101,1.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,velocity_rmse_mps_ground_speed,10.708537933132371,passed,,velocity_rmse_mps_ground_speed; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p1ns,high_velocity,101,1.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,angle_rmse_deg,0.024545965963390842,passed,,angle_rmse_deg; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p1ns,high_velocity,101,1.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,false_track_count,260.0,passed,,false_track_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p1ns,high_velocity,101,1.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,unique_false_track_count,260.0,passed,,unique_false_track_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_p1ns,high_velocity,101,1.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,track_id_switch_count,1.0,passed,,track_id_switch_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A0_Ideal,ON,track_pd_all_visible,0.8,passed,5,track_pd_all_visible; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A0_Ideal,ON,track_pd_after_confirmation,1.0,passed,5,track_pd_after_confirmation; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A0_Ideal,ON,track_continuity,0.8,passed,,track_continuity; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A0_Ideal,ON,track_continuity_after_confirmation,1.0,passed,,track_continuity_after_confirmation; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A0_Ideal,ON,position_rmse_m,67.21598545705629,passed,,position_rmse_m; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A0_Ideal,ON,velocity_rmse_mps_ground_speed,5.188652454301404,passed,,velocity_rmse_mps_ground_speed; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A0_Ideal,ON,angle_rmse_deg,0.023815178451899392,passed,,angle_rmse_deg; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A0_Ideal,ON,false_track_count,285.0,passed,,false_track_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A0_Ideal,ON,unique_false_track_count,285.0,passed,,unique_false_track_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A0_Ideal,ON,track_id_switch_count,0.0,passed,,track_id_switch_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A1_Current_unknown_error,ON,track_pd_all_visible,0.8,passed,5,track_pd_all_visible; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A1_Current_unknown_error,ON,track_pd_after_confirmation,1.0,passed,5,track_pd_after_confirmation; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A1_Current_unknown_error,ON,track_continuity,0.8,passed,,track_continuity; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A1_Current_unknown_error,ON,track_continuity_after_confirmation,1.0,passed,,track_continuity_after_confirmation; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A1_Current_unknown_error,ON,position_rmse_m,50.71995840649778,passed,,position_rmse_m; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A1_Current_unknown_error,ON,velocity_rmse_mps_ground_speed,3.596954661750173,passed,,velocity_rmse_mps_ground_speed; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A1_Current_unknown_error,ON,angle_rmse_deg,0.01857279603250506,passed,,angle_rmse_deg; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A1_Current_unknown_error,ON,false_track_count,274.0,passed,,false_track_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A1_Current_unknown_error,ON,unique_false_track_count,274.0,passed,,unique_false_track_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A1_Current_unknown_error,ON,track_id_switch_count,2.0,passed,,track_id_switch_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,track_pd_all_visible,0.8,passed,5,track_pd_all_visible; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,track_pd_after_confirmation,1.0,passed,5,track_pd_after_confirmation; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,track_continuity,0.8,passed,,track_continuity; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,track_continuity_after_confirmation,1.0,passed,,track_continuity_after_confirmation; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,position_rmse_m,76.8019728812883,passed,,position_rmse_m; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,velocity_rmse_mps_ground_speed,6.683723900896093,passed,,velocity_rmse_mps_ground_speed; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,angle_rmse_deg,0.04924759825529481,passed,,angle_rmse_deg; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,false_track_count,320.0,passed,,false_track_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,unique_false_track_count,320.0,passed,,unique_false_track_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A2_Known_error_correction_upper_bound,ON,track_id_switch_count,3.0,passed,,track_id_switch_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,track_pd_all_visible,0.8,passed,5,track_pd_all_visible; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,track_pd_after_confirmation,1.0,passed,5,track_pd_after_confirmation; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,track_continuity,0.8,passed,,track_continuity; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,track_continuity_after_confirmation,1.0,passed,,track_continuity_after_confirmation; higher values are better
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,position_rmse_m,66.72122297280353,passed,,position_rmse_m; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,velocity_rmse_mps_ground_speed,7.610045448253431,passed,,velocity_rmse_mps_ground_speed; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,angle_rmse_deg,0.02392980198552879,passed,,angle_rmse_deg; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,false_track_count,260.0,passed,,false_track_count; lower values are better; transformed_value=-value for recovery
high_velocity__seed_101__v_p12__snr_p30__delay_m1ns,high_velocity,101,-1.0,12.0,30.0,A3_Blind_target_free_estimated_correction,ON,unique_false_track_count,260.0,passed,,unique_false_track_count; lower values are better; transformed_value=-value for recovery
