scene_id,working_point,seed,delay_error_ns,target_velocity_mps,target_snr_db,level,method,status,estimate_ns,truth_ns,error_ns,runtime_sec,fallback_reason,snr_db,bias_ns,rmse_ns,std_ns,ci95_low_ns,ci95_high_ns,outlier_rate,fallback_rate,fallback_count,finite_estimate_count,trials,mean_runtime_sec,random_seed_namespace,sampling_rate_hz,bandwidth_hz,pulse_samples
base__seed_101__v_p6d7__snr_p35__delay_p0ns,base,101,0.0,6.7,35.0,level2,cross_correlation,ok,-0.02662150568326747,0.0,-0.02662150568326747,1.4627823700138833,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p0ns,base,101,0.0,6.7,35.0,level2,gcc_phat,ok,-0.02412623344305109,0.0,-0.02412623344305109,1.7016565829981118,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p1ns,base,101,1.0,6.7,35.0,level2,D1_ordinary_LS,ok,0.8610374147365133,1.0,-0.1389625852634867,0.0012575559958349913,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p1ns,base,101,1.0,6.7,35.0,level2,D2_weighted_LS,ok,0.8812875822992559,1.0,-0.11871241770074414,0.00014191700029186904,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p1ns,base,101,1.0,6.7,35.0,level2,D3_Huber_weighted_LS,ok,0.8639455192566396,1.0,-0.13605448074336035,0.001328933023614809,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p1ns,base,101,1.0,6.7,35.0,level2,cross_correlation,ok,0.20170346627866306,1.0,-0.7982965337213369,1.2645790340029635,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p1ns,base,101,1.0,6.7,35.0,level2,gcc_phat,ok,0.07171552122068187,1.0,-0.9282844787793181,1.688701343984576,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m1ns,base,101,-1.0,6.7,35.0,level2,D1_ordinary_LS,ok,0.0788048195392907,-1.0,1.0788048195392907,0.0398820880218409,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m1ns,base,101,-1.0,6.7,35.0,level2,D2_weighted_LS,ok,0.09555661996197672,-1.0,1.0955566199619766,0.0002646970096975565,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m1ns,base,101,-1.0,6.7,35.0,level2,D3_Huber_weighted_LS,ok,0.08113085891771028,-1.0,1.0811308589177102,0.001564858015626669,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m1ns,base,101,-1.0,6.7,35.0,level2,cross_correlation,ok,-0.2566272341463842,-1.0,0.7433727658536158,1.2473832610121462,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m1ns,base,101,-1.0,6.7,35.0,level2,gcc_phat,ok,-0.11137507845594549,-1.0,0.8886249215440545,1.7259265760076232,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p2ns,base,101,2.0,6.7,35.0,level2,D1_ordinary_LS,ok,1.7105058733975447,2.0,-0.2894941266024553,0.0009146390075329691,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p2ns,base,101,2.0,6.7,35.0,level2,D2_weighted_LS,ok,1.7279997384835428,2.0,-0.2720002615164572,0.00013123199460096657,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p2ns,base,101,2.0,6.7,35.0,level2,D3_Huber_weighted_LS,ok,1.7166844941142378,2.0,-0.28331550588576215,0.0012769040185958147,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p2ns,base,101,2.0,6.7,35.0,level2,cross_correlation,ok,0.4583676392380304,2.0,-1.5416323607619695,1.2563434089825023,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p2ns,base,101,2.0,6.7,35.0,level2,gcc_phat,ok,0.08890856969654572,2.0,-1.9110914303034543,1.7092958219873253,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m2ns,base,101,-2.0,6.7,35.0,level2,D1_ordinary_LS,ok,0.10979095974564741,-2.0,2.1097909597456472,0.0004337840073276311,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m2ns,base,101,-2.0,6.7,35.0,level2,D2_weighted_LS,ok,0.10931993513096394,-2.0,2.109319935130964,0.00015085699851624668,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m2ns,base,101,-2.0,6.7,35.0,level2,D3_Huber_weighted_LS,ok,0.10230710433891471,-2.0,2.1023071043389145,0.0012641240027733147,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m2ns,base,101,-2.0,6.7,35.0,level2,cross_correlation,ok,-0.514181326194249,-2.0,1.4858186738057508,1.3114039380161557,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m2ns,base,101,-2.0,6.7,35.0,level2,gcc_phat,ok,-0.1178600641606655,-2.0,1.8821399358393345,1.709559980983613,,,,,,,,,,,,,,,,,
