branch,period_id,track_id,matched_det_index,resolved_source,eligible,matched_truth,position_error_m,range_error_m,seed
blind_calibrated,1,10,8,measurement,1,0,1745.5286345121851,1738.3676339000085,202
blind_calibrated,1,13,16,measurement,1,0,4117.810361718712,4106.728052100007,202
blind_calibrated,1,16,9,measurement,1,0,833.9714604383304,814.0075550666952,202
blind_calibrated,1,17,10,measurement,1,0,421.3235164839811,336.83789275000163,202
blind_calibrated,1,18,1,measurement,1,0,1876.7641704800224,1868.2776990333077,202
blind_calibrated,1,23,19,measurement,1,0,1120.5097324582932,1044.705684533299,202
blind_calibrated,1,24,5,measurement,1,0,2951.2288785052683,2937.537465900008,202
blind_calibrated,1,25,17,measurement,1,0,3597.591691083719,3517.993463033301,202
blind_calibrated,1,29,18,measurement,1,0,989.7480720138868,949.771406166692,202
blind_calibrated,1,30,27,measurement,1,0,770.3879548545367,704.0836538000003,202
blind_calibrated,1,32,28,measurement,1,1,22.327077647906716,2.9268929833051516,202
blind_calibrated,2,1,0,measurement,1,1,45.35966403049764,0.7286246167059289,202
blind_calibrated,2,3,1,measurement,1,0,2956.053420433142,2844.8014559000003,202
blind_calibrated,2,4,34,measurement,1,1,71.33521986571412,1.7696458666905528,202
blind_calibrated,2,9,23,measurement,1,0,2491.752315084682,2477.5556948500016,202
blind_calibrated,2,12,5,measurement,1,0,2292.360886847467,2281.64957590001,202
blind_calibrated,2,15,15,measurement,1,0,1105.485840680344,1078.5242241832893,202
blind_calibrated,2,21,14,measurement,1,0,2405.3843464233573,2322.6629248832905,202
blind_calibrated,2,27,6,measurement,1,0,4885.552691672366,4875.895358850001,202
blind_calibrated,2,28,13,measurement,1,0,1236.3437612389025,1207.3932680667058,202
blind_calibrated,2,30,2,measurement,1,0,555.5158878683982,550.3481309500057,202
blind_calibrated,2,33,33,measurement,1,1,22.093749623795294,1.7696458666905528,202
blind_calibrated,2,36,19,measurement,1,0,5006.128161346046,4968.331366733299,202
blind_calibrated,2,38,24,measurement,1,0,3585.5411524903407,3566.8016255832918,202
blind_calibrated,2,39,28,measurement,1,0,4244.472443412007,4236.338115116698,202
blind_calibrated,2,40,21,measurement,1,0,4219.786795979955,4195.324766133301,202
blind_calibrated,2,47,16,measurement,1,0,456.16214040760434,442.9225001667073,202
known_error_calibrated,1,1,0,measurement,1,1,3.3387437105031883,0.42862249999598134,202
known_error_calibrated,1,2,13,measurement,1,0,1492.2781449830973,1469.4116666999907,202
known_error_calibrated,1,7,6,measurement,1,0,2885.7951216149445,2865.0876218833,202
known_error_calibrated,1,10,8,measurement,1,0,1745.5286345121851,1738.3676339000085,202
known_error_calibrated,1,13,16,measurement,1,0,4117.810361718712,4106.728052100007,202
known_error_calibrated,1,16,9,measurement,1,0,833.9714604383304,814.0075550666952,202
known_error_calibrated,1,17,10,measurement,1,0,421.3235164839811,336.83789275000163,202
known_error_calibrated,1,18,1,measurement,1,0,1876.7641704800224,1868.2776990333077,202
known_error_calibrated,1,23,19,measurement,1,0,1120.5097324582932,1044.705684533299,202
known_error_calibrated,1,24,5,measurement,1,0,2951.2288785052683,2937.537465900008,202
known_error_calibrated,1,25,17,measurement,1,0,3597.591691083719,3517.993463033301,202
known_error_calibrated,1,29,18,measurement,1,0,989.7480720138868,949.771406166692,202
known_error_calibrated,1,30,27,measurement,1,0,770.3879548545367,704.0836538000003,202
known_error_calibrated,1,32,28,measurement,1,1,22.327077647906716,2.9268929833051516,202
known_error_calibrated,2,1,0,measurement,1,1,45.35966403049764,0.7286246167059289,202
known_error_calibrated,2,3,1,measurement,1,0,2956.053420433142,2844.8014559000003,202
known_error_calibrated,2,4,34,measurement,1,1,71.33521986571412,1.7696458666905528,202
known_error_calibrated,2,9,23,measurement,1,0,2491.752315084682,2477.5556948500016,202
known_error_calibrated,2,12,5,measurement,1,0,2292.360886847467,2281.64957590001,202
known_error_calibrated,2,15,15,measurement,1,0,1105.485840680344,1078.5242241832893,202
known_error_calibrated,2,21,14,measurement,1,0,2405.3843464233573,2322.6629248832905,202
known_error_calibrated,2,27,6,measurement,1,0,4885.552691672366,4875.895358850001,202
known_error_calibrated,2,28,13,measurement,1,0,1236.3437612389025,1207.3932680667058,202
known_error_calibrated,2,30,2,measurement,1,0,555.5158878683982,550.3481309500057,202
known_error_calibrated,2,33,33,measurement,1,1,22.093749623795294,1.7696458666905528,202
known_error_calibrated,2,36,19,measurement,1,0,5006.128161346046,4968.331366733299,202
known_error_calibrated,2,38,24,measurement,1,0,3585.5411524903407,3566.8016255832918,202
known_error_calibrated,2,39,28,measurement,1,0,4244.472443412007,4236.338115116698,202
known_error_calibrated,2,40,21,measurement,1,0,4219.786795979955,4195.324766133301,202
known_error_calibrated,2,47,16,measurement,1,0,456.16214040760434,442.9225001667073,202
Current,1,1,0,measurement,1,1,3.6578517344831813,0.42862249999598134,303
Current,1,3,20,measurement,1,0,4696.3440858143695,4678.831992783307,303
Current,1,4,27,measurement,1,0,649.8574119164442,634.9893252666952,303
Current,1,7,4,measurement,1,0,2746.1596623356336,2688.5676625666965,303
Current,1,11,9,measurement,1,0,1854.0018198148782,1748.3607158333034,303
Current,1,13,11,measurement,1,0,1557.5205569334137,1548.4990771667071,303
Current,1,14,6,measurement,1,0,3854.4077785513846,3777.8135933000012,303
Current,1,15,32,measurement,1,0,3276.8332053584254,3268.1664146999974,303
Current,1,18,7,measurement,1,0,4689.243658759743,4672.194426333299,303
Current,1,21,16,measurement,1,0,3847.7685532591663,3779.454618783304,303
Current,1,23,8,measurement,1,0,537.2313031018668,346.8309746832965,303
Current,1,26,28,measurement,1,0,1489.3588439421876,1416.090741549997,303
