method,dimension,level,count,mean,median,p05,p10,p90,min,cvar5,fraction_lt_neg_0_1,fraction_lt_neg_0_5,fraction_lt_neg_1_0
J5_Selective_Physics_Calibration,snr,7.89844,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,radial_velocity,negative_fast,16,0.027845913482443196,0.0,-0.21199851271790737,-0.05571663239392466,0.16514491329206527,-0.6324271506811998,-0.6324271506811998,0.0625,0.0625,0.0
J5_Selective_Physics_Calibration,radial_velocity,negative_slow,10,0.010587067656802951,0.000697538552715038,-0.012607492879586023,-0.002292271432652004,0.045974636492071494,-0.022922714326520044,-0.022922714326520044,0.0,0.0,0.0
J5_Selective_Physics_Calibration,radial_velocity,positive_fast,13,0.06667650534283842,0.004367846667689967,-0.00998863692818208,-0.00010578036903226005,0.10020703255265459,-0.024773254128519717,-0.024773254128519717,0.0,0.0,0.0
J5_Selective_Physics_Calibration,radial_velocity,positive_slow,9,0.16836804046346446,0.0,-0.00489317921228416,-0.0016310597374280529,0.6006050676968879,-0.008155298687140267,-0.008155298687140267,0.0,0.0,0.0
J5_Selective_Physics_Calibration,clutter_ridge,false,37,0.054444642480417894,0.0007669167260093701,-0.04603323179219352,-0.023662930247319913,0.16429504109519608,-0.6324271506811998,-0.35214139203900485,0.02702702702702703,0.02702702702702703,0.0
J5_Selective_Physics_Calibration,clutter_ridge,true,11,0.08355095037633985,0.0,-0.004077649343570133,0.0,0.26743680572108985,-0.008155298687140267,-0.008155298687140267,0.0,0.0,0.0
J5_Selective_Physics_Calibration,clutter_ridge_distance,far,42,0.06886324276652644,0.0017929927901247922,-0.03883741252791344,-0.020774480556635035,0.26673039498123785,-0.6324271506811998,-0.24795347182301639,0.023809523809523808,0.023809523809523808,0.0
J5_Selective_Physics_Calibration,clutter_ridge_distance,near,6,0.0068760049535148875,0.0,-0.0061164740153552,-0.004077649343570133,0.024705664204114797,-0.008155298687140267,-0.008155298687140267,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.19,1,0.8359230691915993,0.8359230691915993,0.8359230691915993,0.8359230691915993,0.8359230691915993,0.8359230691915993,0.8359230691915993,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.21,1,0.001395077105430076,0.001395077105430076,0.001395077105430076,0.001395077105430076,0.001395077105430076,0.001395077105430076,0.001395077105430076,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.23,1,-0.001440376627670048,-0.001440376627670048,-0.001440376627670048,-0.001440376627670048,-0.001440376627670048,-0.001440376627670048,-0.001440376627670048,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.26,1,0.10006208432215047,0.10006208432215047,0.10006208432215047,0.10006208432215047,0.10006208432215047,0.10006208432215047,0.10006208432215047,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.28,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.31,1,0.06991712826156071,0.06991712826156071,0.06991712826156071,0.06991712826156071,0.06991712826156071,0.06991712826156071,0.06991712826156071,0.0,0.0,0.0
J5_Selective_Physics_Calibration,texture,0.34,1,0.6608965307986008,0.6608965307986008,0.6608965307986008,0.6608965307986008,0.6608965307986008,0.6608965307986008,0.6608965307986008,0.0,0.0,0.0
