split,scene_id,role,method,status,pfa,hit_cells,false_clusters,selected,valid_cfar_test_cells,configured_pf,cfar_mode,lambda
target_safe_oracle,target_safe_oracle_005,target_off,J6_Joint_Phase_Surface,measured,0.008034008259368836,4171,19,19,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_005,target_on,J6_Joint_Phase_Surface,measured,0.008016672830374754,4162,19,19,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_005,target_off,J6_Joint_Phase_Surface,measured,0.008205436390532544,4260,21,21,519168,1e-06,dynamic,0.25
target_safe_oracle,target_safe_oracle_005,target_on,J6_Joint_Phase_Surface,measured,0.008201584072978304,4258,21,21,519168,1e-06,dynamic,0.25
target_safe_oracle,target_safe_oracle_005,target_off,J6_Joint_Phase_Surface,measured,0.008030155941814596,4169,20,20,519168,1e-06,dynamic,0.5
target_safe_oracle,target_safe_oracle_005,target_on,J6_Joint_Phase_Surface,measured,0.008053269847140039,4181,20,20,519168,1e-06,dynamic,0.5
target_safe_oracle,target_safe_oracle_005,target_off,J6_Joint_Phase_Surface,measured,0.008018598989151873,4163,18,18,519168,1e-06,dynamic,0.75
target_safe_oracle,target_safe_oracle_005,target_on,J6_Joint_Phase_Surface,measured,0.008039786735700197,4174,18,18,519168,1e-06,dynamic,0.75
target_safe_oracle,target_safe_oracle_005,target_off,J6_Joint_Phase_Surface,measured,0.008074457593688363,4192,19,19,519168,1e-06,dynamic,1.0
target_safe_oracle,target_safe_oracle_005,target_on,J6_Joint_Phase_Surface,measured,0.008107202292899409,4209,19,19,519168,1e-06,dynamic,1.0
target_safe_oracle,target_safe_oracle_006,target_off,J0_Current,measured,0.010227903106508876,5310,57,57,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_006,target_on,J0_Current,measured,0.010204789201183432,5298,58,58,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_006,target_off,J5_Selective_Physics_Calibration,measured,0.010227903106508876,5310,57,57,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_006,target_on,J5_Selective_Physics_Calibration,measured,0.010204789201183432,5298,58,58,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_006,target_off,J5_Selective_Physics_Calibration,measured,0.010227903106508876,5310,57,57,519168,1e-06,dynamic,0.25
target_safe_oracle,target_safe_oracle_006,target_on,J5_Selective_Physics_Calibration,measured,0.010204789201183432,5298,58,58,519168,1e-06,dynamic,0.25
target_safe_oracle,target_safe_oracle_006,target_off,J5_Selective_Physics_Calibration,measured,0.010227903106508876,5310,57,57,519168,1e-06,dynamic,0.5
target_safe_oracle,target_safe_oracle_006,target_on,J5_Selective_Physics_Calibration,measured,0.010204789201183432,5298,58,58,519168,1e-06,dynamic,0.5
target_safe_oracle,target_safe_oracle_006,target_off,J5_Selective_Physics_Calibration,measured,0.010227903106508876,5310,57,57,519168,1e-06,dynamic,0.75
target_safe_oracle,target_safe_oracle_006,target_on,J5_Selective_Physics_Calibration,measured,0.010204789201183432,5298,58,58,519168,1e-06,dynamic,0.75
target_safe_oracle,target_safe_oracle_006,target_off,J5_Selective_Physics_Calibration,measured,0.010227903106508876,5310,57,57,519168,1e-06,dynamic,1.0
target_safe_oracle,target_safe_oracle_006,target_on,J5_Selective_Physics_Calibration,measured,0.010204789201183432,5298,58,58,519168,1e-06,dynamic,1.0
target_safe_oracle,target_safe_oracle_006,target_off,J6_Joint_Phase_Surface,measured,0.010227903106508876,5310,57,57,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_006,target_on,J6_Joint_Phase_Surface,measured,0.010204789201183432,5298,58,58,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_006,target_off,J6_Joint_Phase_Surface,measured,0.010227903106508876,5310,57,57,519168,1e-06,dynamic,0.25
target_safe_oracle,target_safe_oracle_006,target_on,J6_Joint_Phase_Surface,measured,0.010204789201183432,5298,58,58,519168,1e-06,dynamic,0.25
target_safe_oracle,target_safe_oracle_006,target_off,J6_Joint_Phase_Surface,measured,0.010227903106508876,5310,57,57,519168,1e-06,dynamic,0.5
target_safe_oracle,target_safe_oracle_006,target_on,J6_Joint_Phase_Surface,measured,0.010204789201183432,5298,58,58,519168,1e-06,dynamic,0.5
target_safe_oracle,target_safe_oracle_006,target_off,J6_Joint_Phase_Surface,measured,0.010227903106508876,5310,57,57,519168,1e-06,dynamic,0.75
target_safe_oracle,target_safe_oracle_006,target_on,J6_Joint_Phase_Surface,measured,0.010204789201183432,5298,58,58,519168,1e-06,dynamic,0.75
target_safe_oracle,target_safe_oracle_006,target_off,J6_Joint_Phase_Surface,measured,0.010227903106508876,5310,57,57,519168,1e-06,dynamic,1.0
target_safe_oracle,target_safe_oracle_006,target_on,J6_Joint_Phase_Surface,measured,0.010204789201183432,5298,58,58,519168,1e-06,dynamic,1.0
target_safe_oracle,target_safe_oracle_007,target_off,J0_Current,measured,0.0036828155818540436,1912,0,0,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_007,target_on,J0_Current,measured,0.004012188732741617,2083,2,2,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_007,target_off,J5_Selective_Physics_Calibration,measured,0.0036828155818540436,1912,0,0,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_007,target_on,J5_Selective_Physics_Calibration,measured,0.004012188732741617,2083,2,2,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_007,target_off,J5_Selective_Physics_Calibration,measured,0.003694372534516765,1918,0,0,519168,1e-06,dynamic,0.25
target_safe_oracle,target_safe_oracle_007,target_on,J5_Selective_Physics_Calibration,measured,0.00402374568540434,2089,2,2,519168,1e-06,dynamic,0.25
target_safe_oracle,target_safe_oracle_007,target_off,J5_Selective_Physics_Calibration,measured,0.003678963264299803,1910,0,0,519168,1e-06,dynamic,0.5
target_safe_oracle,target_safe_oracle_007,target_on,J5_Selective_Physics_Calibration,measured,0.004016041050295858,2085,2,2,519168,1e-06,dynamic,0.5
target_safe_oracle,target_safe_oracle_007,target_off,J5_Selective_Physics_Calibration,measured,0.003694372534516765,1918,1,1,519168,1e-06,dynamic,0.75
target_safe_oracle,target_safe_oracle_007,target_on,J5_Selective_Physics_Calibration,measured,0.004016041050295858,2085,3,3,519168,1e-06,dynamic,0.75
target_safe_oracle,target_safe_oracle_007,target_off,J5_Selective_Physics_Calibration,measured,0.0036847417406311637,1913,2,2,519168,1e-06,dynamic,1.0
target_safe_oracle,target_safe_oracle_007,target_on,J5_Selective_Physics_Calibration,measured,0.003996779462524655,2075,3,3,519168,1e-06,dynamic,1.0
target_safe_oracle,target_safe_oracle_007,target_off,J6_Joint_Phase_Surface,measured,0.0036828155818540436,1912,0,0,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_007,target_on,J6_Joint_Phase_Surface,measured,0.004012188732741617,2083,2,2,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_007,target_off,J6_Joint_Phase_Surface,measured,0.003771418885601578,1958,1,1,519168,1e-06,dynamic,0.25
target_safe_oracle,target_safe_oracle_007,target_on,J6_Joint_Phase_Surface,measured,0.004000631780078896,2077,3,3,519168,1e-06,dynamic,0.25
target_safe_oracle,target_safe_oracle_007,target_off,J6_Joint_Phase_Surface,measured,0.003935142381656805,2043,2,2,519168,1e-06,dynamic,0.5
target_safe_oracle,target_safe_oracle_007,target_on,J6_Joint_Phase_Surface,measured,0.004098865877712032,2128,4,4,519168,1e-06,dynamic,0.5
target_safe_oracle,target_safe_oracle_007,target_off,J6_Joint_Phase_Surface,measured,0.003998705621301775,2076,6,6,519168,1e-06,dynamic,0.75
target_safe_oracle,target_safe_oracle_007,target_on,J6_Joint_Phase_Surface,measured,0.004131610576923077,2145,7,7,519168,1e-06,dynamic,0.75
target_safe_oracle,target_safe_oracle_007,target_off,J6_Joint_Phase_Surface,measured,0.0039698132396449705,2061,10,10,519168,1e-06,dynamic,1.0
target_safe_oracle,target_safe_oracle_007,target_on,J6_Joint_Phase_Surface,measured,0.004120053624260355,2139,11,11,519168,1e-06,dynamic,1.0
target_safe_oracle,target_safe_oracle_008,target_off,J0_Current,measured,0.01073448286489152,5573,53,53,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_008,target_on,J0_Current,measured,0.010701738165680473,5556,53,53,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_008,target_off,J5_Selective_Physics_Calibration,measured,0.01073448286489152,5573,53,53,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_008,target_on,J5_Selective_Physics_Calibration,measured,0.010701738165680473,5556,53,53,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_008,target_off,J5_Selective_Physics_Calibration,measured,0.010707516642011835,5559,61,61,519168,1e-06,dynamic,0.25
target_safe_oracle,target_safe_oracle_008,target_on,J5_Selective_Physics_Calibration,measured,0.010670919625246548,5540,62,62,519168,1e-06,dynamic,0.25
target_safe_oracle,target_safe_oracle_008,target_off,J5_Selective_Physics_Calibration,measured,0.01068247657790927,5546,68,68,519168,1e-06,dynamic,0.5
